category,taxon,preservation,collid,institutioncode,collectioncode,fullname,neonsampleclass,description
Algae,"Aquatic Macroalgae","Chemical Preservation [Clip Harvests]",50,NEON,AMAC-CPCH,"Aquatic Macroalgae Collection (Chemical Preservation [Clip Harvests])",apl_domainLab_in.sampleIDmacroalgae,NULL
Algae,"Aquatic Macroalgae","Chemical Preservation [Point Counts]",73,NEON,AMAC-CPPC,"Aquatic Macroalgae Collection (Chemical Preservation [Point Counts])",apc_perTaxon_in.sampleIDmacroalgae,NULL
Algae,"Aquatic Microalgae","Chemical Preservation",47,NEON,AMIC-CP,"Aquatic Microalgae Collection (Chemical Preservation)",ptx_taxonomy_in.preserved,NULL
Algae,"Aquatic Microalgae",Freeze-dried,46,NEON,AMIC-FD,"Aquatic Microalgae Collection (Freeze-dried)",ptx_taxonomy_in.freezeDried,NULL
Algae,"Aquatic Microalgae","Microscope Slides",49,NEON,AMIC-MS,"Aquatic Microalgae Collection (Microscope Slides)",ptx_taxonomy_in.slideID,NULL
Algae,"Aquatic Plant, Bryophyte, and Lichen","Herbarium Vouchers [Clip Harvests]",9,NEON,APLC-HVCH,"Aquatic Plant, Bryophyte, and Lichen Collection (Herbarium Vouchers [Clip Harvests])",apl_domainLab_in.sampleIDplant,"Subsample for aquatic plant taxonomy"
Algae,"Aquatic Plant, Bryophyte, and Lichen","Herbarium Vouchers [Point Counts]",7,NEON,APLC-HVPC,"Aquatic Plant, Bryophyte, and Lichen Collection (Herbarium Vouchers [Point Counts])",apc_perTaxon_in.sampleIDplant,"Subsample for aquatic plant point counts plant taxonomy"
Algae,"Aquatic Plant, Bryophyte, and Lichen","Herbarium Vouchers [Standard Sampling]",8,NEON,APLC-HVSS,"Aquatic Plant, Bryophyte, and Lichen Collection (Herbarium Vouchers [Standard Sampling])",apc_voucher_in.sampleID,"Sample for aquatic plant voucher"
Environmental,"Particulate Mass Filter","Particulate Mass Filter Collection",41,NEON,PMFC,"Particulate Mass Filter Collection",dpm_fieldData_in.sampleID,"Particulate mass filter from automated collector"
Environmental,Soil,"Soil Collection",30,NEON,SOIC,"Soil Collection",sls_bgcSubsampling_in.bgcArchiveID,"Soil subsample for archive"
Environmental,"Wet Deposition","Wet Deposition Collection",42,NEON,WDC,"Wet Deposition Collection",wdp_collection_in.chemSubsampleID,"Wet deposition subsample for chemical analysis"
Invertebrates,"Benthic Macroinvertebrate",Chironomids,22,NEON,BMIC-CH,"Benthic Macroinvertebrate Collection (Chironomids)",inv_persample_in.chironomidVialID,inv_persample_in.chironomidVialID
Invertebrates,"Benthic Macroinvertebrate","DNA Extracts",61,NEON,BMIC-DNA,"Benthic Macroinvertebrate Collection (DNA Extracts)",inv_dnaExtraction_in.dnaSampleID,NULL
Invertebrates,"Benthic Macroinvertebrate","Microscope Slides",53,NEON,BMIC-MS,"Benthic Macroinvertebrate Collection (Microscope Slides)",inv_pertaxon_in.slideID,NULL
Invertebrates,"Benthic Macroinvertebrate",Oligochaetes,52,NEON,BMIC-OL,"Benthic Macroinvertebrate Collection (Oligochaetes)",inv_persample_in.oligochaeteVialID,NULL
Invertebrates,"Benthic Macroinvertebrate","Taxonomy Reference Collection",48,NEON,BMIC-TR,"Benthic Macroinvertebrate Collection (Taxonomy Reference Collection)",inv_pervial_in.referenceID,NULL
Invertebrates,"Benthic Macroinvertebrate","Taxonomy Subsample",57,NEON,BMIC-TS,"Benthic Macroinvertebrate Collection (Taxonomy Subsample)",inv_fielddata_in.sampleID,NULL
Invertebrates,"Benthic Macroinvertebrate","Unsorted Bulk Sample",21,NEON,BMIC-UB,"Benthic Macroinvertebrate Collection (Unsorted Bulk Sample)",inv_fielddata_in.geneticSampleID,"Macroinvertebrate sample taken in the field"
Invertebrates,Carabid,"Archive Pooling",11,NEON,CARC-AP,"Carabid Collection (Archive Pooling)",bet_archivepooling_in.subsampleID.bet,"Subsample of Carabid adults collected and sent to archive facility"
Invertebrates,Carabid,"DNA Extracts",63,NEON,CARC-DNA,"Carabid Collection (DNA Extracts)",bet_expertTaxonomistID_in.geneticSampleID,NULL
Invertebrates,Carabid,"Pinned Vouchers",39,NEON,CARC-PV,"Carabid Collection (Pinned Vouchers)",bet_IDandpinning_in.individualID,"Individual Carabid identified and pinned"
Invertebrates,Carabid,"Trap Sorting",14,NEON,CARC-TS,"Carabid Collection (Trap Sorting)",bet_sorting_in.subsampleID.bet,"Subsample of Carabid adults collected from a beetle trap"
Invertebrates,"Invertebrate Bycatch","Archive Pooling",13,NEON,IVBC-AP,"Invertebrate Bycatch Collection (Archive Pooling)",bet_archivepooling_in.subsampleID.ib,"Subsample of adult non-Carabid or larval invertebrates collected as bycatch and sent to archive faci"
